time,mag,mag.error,phase
2090.91753,16.809,0.015,0.198136929548438
2105.9154,16.987,0.014,0.407571235602373
2106.88003,16.967,0.017,0.421041589369195
2113.86125,16.831,0.015,0.518529230354875
2116.86357,16.765,0.012,0.560454437451074
2122.80273,16.731,0.018,0.643390471244093
2123.81036,16.737,0.013,0.65746128862077
2124.8274,16.809,0.027,0.671663509778116
2128.81818,16.815,0.015,0.727391839195157
2129.85014,16.881,0.015,0.741802407260848
2130.88039,16.91,0.013,0.756189096424845
2131.868,16.96,0.016,0.769980349116191
2132.79839,17.009,0.017,0.782972566278329
2133.88705,17.044,0.019,0.798174908452829
2135.83479,17.156,0.019,0.825373675696011
2136.85638,17.206,0.02,0.839639434281844
2137.84342,17.235,0.022,0.85342272733929
2140.80374,17.192,0.017,0.894761435095627
2141.83852,17.174,0.024,0.90921138240271
2142.77956,17.109,0.016,0.922352319040315
2143.81033,17.014,0.015,0.93674626962471
2144.86519,16.921,0.014,0.951476619473329
2155.87114,16.774,0.017,0.105166676842435
2156.81778,16.783,0.015,0.118385813392013
2160.74273,16.787,0.013,0.173194874915178
2162.75369,16.836,0.014,0.201276463307546
2166.74824,16.83,0.012,0.257057438022471
2167.79442,16.852,0.013,0.271666578007521
2171.73199,16.974,0.012,0.326651868618042
2172.73865,16.965,0.015,0.340709140652815
2173.71919,16.997,0.013,0.354401665955284
2177.61012,16.978,0.019,0.408735663013163
2184.69335,16.867,0.015,0.507647799181198
2185.65728,16.805,0.015,0.521108377959021
2187.7147,16.781,0.015,0.549838746335432
2188.72452,16.772,0.015,0.563940145463403
2190.68373,16.743,0.014,0.591299082883446
2191.69428,16.732,0.013,0.605410675928512
2192.65576,16.709,0.011,0.618837042244844
2193.6769,16.721,0.011,0.633096516909172
2194.64502,16.737,0.012,0.646615605978282
2195.71178,16.777,0.011,0.66151213063986
2200.62254,16.831,0.014,0.73008730916837
2201.65963,16.895,0.014,0.74456951393915
2203.71609,16.979,0.011,0.77328647661636
2206.59973,17.159,0.023,0.813554404149361
2211.63364,17.249,0.017,0.883849282527958
2212.63463,17.275,0.019,0.897827377151857
2213.64302,17.199,0.021,0.91190880737373
2214.62723,17.079,0.019,0.925652581547087
2215.64166,16.979,0.015,0.939818355959736
2217.62865,16.839,0.016,0.967565220800289
2219.67113,16.819,0.017,0.99608696298295
2224.70635,16.786,0.013,0.0664001345552376
2226.6269,16.765,0.015,0.0932192132972157
2228.55117,16.755,0.014,0.120090239123577
2229.60941,16.682,0.012,0.134867788204779
2231.56107,16.787,0.014,0.16212129538635
2233.60536,16.753,0.014,0.190668312897701
2235.65947,16.812,0.012,0.219352459540422
2238.53998,16.871,0.015,0.259576678908334
2240.64382,16.871,0.015,0.288955268697982
2242.6116,16.869,0.016,0.316433879911901
2245.52738,17.025,0.02,0.357150619082591
2248.59259,16.965,0.013,0.399954039118879
2250.56418,16.902,0.014,0.427485854201475
2252.61752,16.88,0.014,0.456159248356297
2255.5999,16.857,0.016,0.497806007908769
2257.61732,16.759,0.012,0.525977805485309
2262.60793,16.719,0.014,0.595668030973056
2264.59252,16.719,0.014,0.623381381565613
2266.59737,16.727,0.014,0.651377648268298
2272.57498,16.861,0.014,0.734850608242685
2274.56058,16.94,0.019,0.762578062747938
2277.59564,17.117,0.015,0.804960460043828
2283.59251,17.268,0.018,0.88870237185835
2290.5916,16.865,0.015,0.986439554348872
2292.60457,16.829,0.015,0.0145492109239287
2294.60111,16.775,0.015,0.042429434542946
2296.56729,16.827,0.019,0.0698857029248637
2298.57792,16.775,0.017,0.0979626831081349
2300.57667,16.781,0.015,0.12587376776384
2303.56021,16.765,0.018,0.167536725869505
2445.90221,16.797,0.015,0.155238845725846
2458.94408,16.971,0.018,0.337359039666432
2463.90776,16.958,0.015,0.406673207363164
2465.92045,16.941,0.014,0.434778953942625
2467.89327,16.91,0.015,0.462327945077321
2469.89288,16.84,0.014,0.490251039005224
2470.92716,16.843,0.013,0.504694004177314
2473.8784,16.809,0.012,0.545905916362085
2483.85081,16.817,0.013,0.685163342118898
2486.86834,16.872,0.017,0.727300945761746
2488.86501,16.941,0.018,0.755182984735861
2489.91484,16.94,0.014,0.769843094306393
2492.89593,17.195,0.02,0.811471839950567
2495.88561,17.3,0.019,0.853220538674004
2496.89553,17.263,0.018,0.867323334228972
2497.919,17.269,0.019,0.881615345642395
2498.92178,17.261,0.016,0.895618436309592
2499.85193,17.243,0.017,0.908607302046927
2500.85637,17.153,0.017,0.922633573402316
2501.84628,17.056,0.015,0.936456943914656
2502.82613,16.967,0.016,0.950139833870822
2516.76878,16.769,0.015,0.144838762938946
2517.81559,16.759,0.014,0.159456700414093
2518.78659,16.752,0.015,0.173016006580794
2519.86541,16.731,0.013,0.188080940338524
2520.78359,16.782,0.014,0.200902653764006
2521.85481,16.811,0.013,0.215861459069764
2524.85256,16.854,0.014,0.257722849452078
2526.77011,16.867,0.012,0.284500035384064
2534.82636,17.027,0.017,0.396999685544191
2535.84715,16.933,0.017,0.411254272714023
2537.69449,16.956,0.02,0.437051027249543
2538.78815,16.939,0.015,0.452323190774027
2539.69452,16.908,0.016,0.464979986170849
2540.71351,16.869,0.019,0.479209437654687
2541.70643,16.87,0.014,0.493074840619715
2542.67621,16.841,0.013,0.506617110377019
2544.65455,16.824,0.014,0.534243184282098
2545.66995,16.791,0.013,0.548422504036645
2547.6878,16.765,0.015,0.576600306249291
2548.70406,16.772,0.012,0.590791635276036
2550.69895,16.764,0.013,0.618648817849557
2551.68567,16.769,0.013,0.632427642340603
2552.70181,16.789,0.012,0.646617295654952
2554.69501,16.817,0.013,0.674450878612178
2555.70294,16.841,0.014,0.688525885269856
2556.68186,16.836,0.013,0.70219578845493
2557.69447,16.861,0.013,0.716336147896186
2558.65095,16.891,0.014,0.72969269286254
2559.6077,16.9,0.016,0.743053008181787
2560.64086,16.926,0.014,0.757480333371476
2561.66649,16.976,0.019,0.771802507608092
2562.65934,17.007,0.016,0.78566693307422
2563.66716,17.09,0.019,0.799740403662193
2564.68272,17.175,0.017,0.81392195769994
2565.66886,17.239,0.018,0.827692682914395
2566.65385,17.288,0.019,0.841447349218347
2568.68524,17.278,0.023,0.86981422764674
2571.63753,17.217,0.021,0.911040802315011
2572.73418,17.134,0.021,0.926354719006784
2573.65118,17.042,0.02,0.939159954593667
2574.63507,16.961,0.015,0.952899260200623
2577.62074,16.882,0.017,0.994591962201379
2578.61905,16.869,0.018,0.00853263258168553
2579.62845,16.831,0.015,0.0226281667162609
2580.64052,16.842,0.013,0.0367609854517187
2583.61187,16.823,0.017,0.0782537191061261
2584.61939,16.79,0.014,0.0923230004130979
2587.60063,16.803,0.015,0.133953840697769
2588.62949,16.762,0.015,0.148321119526472
2589.59062,16.778,0.015,0.161742598348308
2590.60539,16.781,0.015,0.175913120612763
2591.6066,16.805,0.014,0.189894287376059
2593.59713,16.829,0.014,0.217690585732396
2594.60091,16.857,0.017,0.231707640669586
2596.57706,16.863,0.017,0.259303132823371
2597.56443,16.875,0.018,0.273091034089913
2598.61736,16.902,0.015,0.28779443289744
2599.59755,16.928,0.017,0.301482070705406
2607.61738,16.993,0.019,0.413473142152258
2610.53771,16.943,0.021,0.454253418751434
2613.52972,16.887,0.015,0.496034654223967
2615.56157,16.83,0.015,0.52440795621656
2621.55781,16.744,0.014,0.608141070540985
2623.60558,16.756,0.016,0.636736683711929
2626.54915,16.754,0.015,0.677841489945826
2629.5551,16.841,0.018,0.719817387342115
2635.55618,17.109,0.015,0.803618088733324
2639.53663,17.288,0.024,0.859202167241299
2641.58283,17.303,0.019,0.887775856508343
2646.56163,16.948,0.018,0.957301163967431
2650.58125,16.88,0.017,0.0134322229311727
2654.548,16.831,0.018,0.0688249909401885
2656.59604,16.833,0.019,0.0974243744640313
2660.54592,16.773,0.015,0.152581565238212
2664.56668,16.811,0.017,0.208728543469748
2669.54385,16.899,0.015,0.278231089168738
2673.55634,16.957,0.02,0.334262582887405
2675.57225,17.1,0.017,0.362413294416256
2682.53291,16.916,0.02,0.459613830010801
2777.89541,17.025,0.019,0.791281527561774
2804.90136,16.752,0.017,0.168399904876508
2810.9337,16.869,0.017,0.252637129347814
2814.93126,16.94,0.015,0.308460136515428
2817.91926,17.019,0.02,0.350185375265279
2825.89495,16.925,0.017,0.461560063834475
2831.77365,16.827,0.017,0.543651817863503
2832.73913,16.803,0.015,0.55713404125982
2833.8572,16.784,0.017,0.572747072614921
2834.92643,16.771,0.015,0.587678089023389
2836.87076,16.765,0.017,0.614829238105879
2837.8674,16.74,0.019,0.628746588155297
2839.8989,16.784,0.013,0.657115002653395
2841.8796,16.816,0.013,0.684774032235666
2844.86483,16.882,0.014,0.726460589957619
2845.91085,16.883,0.017,0.741067495659468
2848.94781,17.013,0.029,0.783476425068348
2850.88095,17.146,0.019,0.81047131396958
2851.92424,17.237,0.02,0.82504009721433
2852.79484,17.262,0.018,0.837197390673375
2853.93477,17.258,0.017,0.853115680970599
2856.80792,17.279,0.022,0.893237123311341
2858.90198,17.14,0.016,0.922479142540424
2860.86801,16.974,0.015,0.949933316281845
2861.739,16.926,0.014,0.962096055806184
2862.91799,16.935,0.016,0.978559790489476
2863.82711,16.886,0.018,0.991254987628791
2866.87374,16.811,0.016,0.0337989515285359
2867.85468,16.789,0.015,0.0474970625390016
2868.79838,16.781,0.014,0.0606751441347987
2870.80809,16.738,0.012,0.0887392771896674
2872.7655,16.761,0.012,0.116073078923716
2876.76825,16.775,0.013,0.171968560652617
2877.79011,16.824,0.014,0.186238089591342
2879.79886,16.825,0.012,0.214288816947016
2883.81729,16.873,0.013,0.270403258429463
2885.75242,16.933,0.014,0.297425936227986
2888.80073,16.971,0.016,0.33999336010133
2892.79228,17.05,0.02,0.39573244200627
2894.75859,16.937,0.016,0.423190525743286
2896.7557,16.927,0.016,0.451078708996203
2898.77659,16.884,0.014,0.479298962589633
2900.73855,16.854,0.012,0.506696301752168
2902.73808,16.821,0.013,0.534618278538475
2905.74528,16.753,0.014,0.576611631272257
2907.74652,16.724,0.012,0.604557486960258
2909.73551,16.712,0.011,0.632332280340797
2911.72699,16.719,0.011,0.660141844753632
2915.69836,16.803,0.013,0.715599127690034
2917.72435,16.82,0.013,0.743890599060452
2921.72227,17.015,0.016,0.799718633365271
2923.74355,17.21,0.019,0.827944333024002
2925.70714,17.201,0.016,0.855364433946627
2927.70454,17.244,0.018,0.883256666837843
2930.7224,17.111,0.017,0.925398878689788
2932.72877,16.933,0.014,0.953416371082871
2934.70888,16.873,0.013,0.981067161745843
2937.62942,16.843,0.014,0.0218503708417201
2939.72299,16.794,0.014,0.0510855475785064
2940.626,16.803,0.012,0.063695423028138
2941.61965,16.787,0.012,0.0775710199102601
2942.6258,16.78,0.012,0.0916211701673373
2943.57821,16.785,0.015,0.104920880554806
2944.58167,16.775,0.013,0.118933466925595
2945.5984,16.793,0.016,0.133131359159238
2947.59525,16.812,0.018,0.161015911701952
2949.58938,16.808,0.014,0.188862481430277
2951.62115,16.84,0.016,0.217234666281274
2952.64854,16.866,0.015,0.231581417633086
2954.67506,16.887,0.016,0.259880290066599
2956.6211,16.898,0.013,0.287055318050784
2958.61062,16.943,0.016,0.314837512494425
2961.58662,17.044,0.021,0.356395180004314
2965.62492,16.974,0.014,0.412787091531595
2968.58613,16.919,0.016,0.454138227488232
2970.6055,16.873,0.014,0.48233725539127
2972.58962,16.866,0.014,0.51004404277693
2974.58395,16.823,0.014,0.537893405359253
2976.53988,16.795,0.014,0.565206539973702
2977.60693,16.786,0.016,0.580107114273578
2979.57122,16.742,0.015,0.607536990185202
2981.61623,16.74,0.019,0.636094061970957
