time,mag,mag.error,phase
466.54238,14.639,0.005,0.949239234771189
466.55148,14.64,0.005,0.950193999217323
466.56672,14.642,0.005,0.951792967366659
466.59731,14.64,0.005,0.955002444774033
466.62685,14.645,0.005,0.958101757053005
467.5447,14.615,0.005,0.0544018171496531
467.57417,14.622,0.005,0.0574937850867328
467.60365,14.614,0.005,0.0605868022155149
467.63314,14.626,0.005,0.0636808685359934
469.55406,14.639,0.005,0.265222200388536
469.59269,14.636,0.005,0.26927522792194
469.62434,14.636,0.005,0.272595919649412
471.60661,14.68,0.005,0.480574042575583
471.62185,14.683,0.005,0.482173010724925
472.53877,14.704,0.005,0.578375495993566
472.55355,14.693,0.005,0.579926201324749
472.56821,14.702,0.005,0.581464316355551
472.58284,14.699,0.005,0.582999283811246
622.88504,14.647,0.005,0.35258134259962
624.91162,14.689,0.005,0.565208433944249
625.89906,14.701,0.005,0.668809819074539
626.87057,14.696,0.005,0.770739841828263
627.85681,14.679,0.005,0.874215323954664
628.89789,14.641,0.005,0.983444573358617
629.89569,14.621,0.005,0.0881329210891123
631.92665,14.635,0.005,0.301219558397932
632.86716,14.652,0.005,0.399897086884616
633.9026,14.675,0.005,0.508534592170312
635.89744,14.695,0.005,0.717831549062178
643.86645,14.681,0.005,0.553933463221166
645.83816,14.692,0.005,0.760803639713154
647.7959,14.641,0.005,0.96620809540157
649.79329,14.616,0.005,0.175772596176694
652.84048,14.667,0.005,0.495481241517344
656.85365,14.667,0.005,0.916539706602144
657.82591,14.635,0.005,0.018548418733286
658.86621,14.602,0.005,0.127695831184718
663.77249,14.693,0.005,0.642458656102723
664.87742,14.699,0.005,0.758386994505077
665.82468,14.687,0.005,0.857772727388605
666.83523,14.654,0.005,0.963798794535392
667.85446,14.628,0.005,0.0707355600769371
668.82529,14.612,0.005,0.172594237795115
670.79085,14.643,0.005,0.378819161392187
671.8129,14.675,0.005,0.486051798992869
672.81843,14.694,0.005,0.591551171906731
673.78581,14.7,0.005,0.693047878488735
684.7462,14.681,0.005,0.843002899116006
685.80106,14.657,0.005,0.95367793468124
686.70234,14.62,0.005,0.0482394841325915
687.78369,14.614,0.005,0.161693828508587
688.72571,14.626,0.005,0.260529784941832
689.75286,14.651,0.005,0.368297510309023
697.71902,14.62,0.005,0.204100404833763
698.79013,14.643,0.005,0.316480376909943
699.68913,14.648,0.005,0.410802710653898
700.72992,14.682,0.005,0.520001533498584
701.70215,14.694,0.005,0.622007098054628
704.73014,14.665,0.005,0.939701295333119
706.6958,14.616,0.005,0.145936710847177
707.73336,14.624,0.005,0.254796644773069
708.75752,14.634,0.005,0.36225066182225
712.75807,14.691,0.005,0.78198504698285
713.73944,14.68,0.005,0.884949572751818
714.75441,14.649,0.005,0.991439382629581
715.71997,14.623,0.005,0.0927451363223615
716.68805,14.616,0.005,0.194315286323304
726.67066,14.618,0.005,0.241682441001555
728.68137,14.656,0.005,0.452644465119809
729.68353,14.674,0.005,0.557790260431091
730.66789,14.696,0.005,0.66106849451808
733.63437,14.649,0.005,0.972309113655748
739.65432,14.693,0.005,0.603917270521067
741.62013,14.69,0.005,0.81016842391062
742.59638,14.668,0.005,0.912595763529675
744.6435,14.614,0.005,0.127377894624159
745.59442,14.616,0.005,0.227147631669545
746.78521,14.636,0.005,0.352084329999872
747.65573,14.657,0.005,0.443418565784947
748.6175,14.68,0.005,0.544326675823795
749.62285,14.691,0.005,0.649807163287074
750.61669,14.696,0.005,0.75408003110475
751.62511,14.685,0.005,0.859882620419632
752.73951,14.659,0.005,0.976804543360977
753.67515,14.631,0.005,0.0749711154902267
759.63302,14.7,0.005,0.700065890287886
760.65868,14.694,0.005,0.807677286091921
761.63471,14.671,0.005,0.910081543493607
761.73996,14.674,0.005,0.921124286126029
762.62608,14.638,0.005,0.0140952609616157
762.65564,14.644,0.005,0.0171966716239808
763.64231,14.621,0.005,0.120717268993446
763.75306,14.618,0.005,0.132337067060351
765.57437,14.646,0.005,0.323427400398735
766.61185,14.653,0.005,0.432278940791032
766.71472,14.661,0.005,0.443071975799092
767.61934,14.682,0.005,0.5379839552779
767.681,14.685,0.005,0.544453271294206
769.60218,14.7,0.005,0.746021882130921
769.67591,14.691,0.005,0.753757572527971
770.60832,14.687,0.005,0.851585255738429
771.64139,14.659,0.005,0.959974102591448
772.60321,14.636,0.005,0.0608874585887874
773.60834,14.616,0.005,0.166344863834686
773.76055,14.613,0.005,0.182314610685814
774.60132,14.626,0.005,0.270527501166245
775.55925,14.64,0.005,0.371032721592664
776.64016,14.668,0.005,0.48444090153391
777.61442,14.69,0.005,0.586659452004858
778.61778,14.696,0.005,0.69193115032003
779.64474,14.699,0.005,0.799678941044929
779.75502,14.692,0.005,0.811249427101973
780.64454,14.674,0.005,0.904577127115242
781.55886,14.646,0.005,0.000506822542126799
781.73935,14.647,0.005,0.019443683518148
