time,mag,mag.error,phase
52614.441053,16.802,0.188,0.80726436959831
52614.455676,16.909,0.218,0.821934163193777
52614.470258,16.888,0.188,0.836562825597217
52614.48471,17.204,0.147,0.851061071993003
52614.499167,16.948,0.094,0.865564334397786
52639.474467,17.139,0.096,0.920785294392204
52639.489376,17.305,0.114,0.935742003189912
52639.504193,17.058,0.087,0.950606417592871
52639.520292,17.082,0.092,0.966756934393267
52646.408548,16.921,0.097,0.877055353589973
52646.424298,17.009,0.099,0.89285575358863
52646.439271,17.033,0.102,0.907876667193475
52646.454384,17.041,0.102,0.923038028787472
52646.469368,16.852,0.089,0.938069977588754
52649.459402,17.151,0.102,0.937672086395463
52649.505003,16.797,0.074,0.983419009593443
52666.389879,16.801,0.083,0.922326612798369
52666.40511,16.878,0.072,0.937606351995945
52666.420191,16.876,0.08,0.952735611193674
52666.435467,16.73,0.067,0.968060494399234
52666.45041,16.843,0.074,0.98305131199389
52672.395909,16.816,0.076,0.947575908789597
52672.411899,16.959,0.092,0.963617076789471
52672.434211,16.863,0.086,0.98600047519044
52672.454622,16.837,0.3,0.00647679039206123
52676.356761,16.829,0.094,0.921102635194547
52706.305411,16.726,0.065,0.965588315194251
52706.318769,16.787,0.068,0.978989060790755
52706.332052,16.974,0.078,0.992314566390985
52706.345294,16.866,0.072,0.00559894078852376
52706.358774,16.836,0.07,0.0191220767899649
52710.3077,16.824,0.089,0.980684639991761
52710.308301,16.92,0.083,0.981287563191494
52710.32229,16.78,0.086,0.995321327990619
52710.32317,16.91,0.079,0.996204143997514
52710.335823,16.814,0.084,0.00889763359209755
52710.336425,16.972,0.081,0.00950155999216949
52710.349165,16.722,0.079,0.0222823279904667
52710.349766,16.91,0.078,0.022885251190199
52710.362259,16.741,0.078,0.0354182287922013
52710.362861,16.882,0.074,0.0360221551922732
52724.249428,16.864,0.079,0.967026169593714
52724.261479,16.765,0.073,0.979115732791589
52724.274093,16.823,0.076,0.99177009759089
52724.286728,16.728,0.069,0.00444552959395805
52724.298877,16.814,0.073,0.0166334063959192
52734.25579,16.813,0.079,0.00540852799328277
52734.256271,17.034,0.084,0.00589106718875701
52734.268323,16.81,0.125,0.017981633586972
52734.268805,16.886,0.097,0.0184651759900851
52734.280276,16.65,0.132,0.0299728831880609
52734.304562,17.13,0.262,0.0543365983879077
52753.202741,16.674,0.081,0.0129897711931262
52753.20298,16.848,0.081,0.0132295359940035
52753.216016,16.701,0.081,0.0263072511906386
52753.2286,16.767,0.087,0.0389315199943492
52753.241451,16.765,0.089,0.051823643193848
52753.241691,16.841,0.083,0.0520644111950649
52753.254121,16.868,0.096,0.0645341871902696
52753.25436,16.771,0.078,0.0647739519911469
52768.206269,16.846,0.155,0.0645290607948555
52768.217738,16.454,0.14,0.0760347615921521
52768.217963,16.67,0.134,0.0762604815955739
52768.229435,16.537,0.165,0.0877691919938894
52768.22966,16.792,0.157,0.087994911990012
52768.242242,16.739,0.15,0.100617174393043
52768.254027,16.702,0.152,0.11243988639547
52794.169526,16.896,0.102,0.110868483190751
52794.179929,16.812,0.104,0.121304772790975
52794.190597,16.747,0.097,0.132006910393608
52794.201374,16.763,0.101,0.142818396789464
52794.211809,16.894,0.114,0.153286788793257
52974.461662,17.033,0.104,0.979939318394672
52974.473422,16.937,0.091,0.991736950395908
52974.48527,16.96,0.091,0.00362286398716969
52974.496264,16.928,0.086,0.0146520447910298
52974.509315,16.87,0.078,0.0277448079927592
53002.419871,16.767,0.045,0.0276145871886983
53002.439019,16.85,0.048,0.0468238607881009
53002.458033,16.799,0.041,0.0658987055930891
53002.474537,16.782,0.041,0.0824555183923454
53002.490892,16.766,0.041,0.0988628543920931
53006.391697,16.769,0.08,0.0121504303907161
53006.403907,16.797,0.078,0.0243995023914962
53006.416593,16.811,0.076,0.0371260975933517
53006.428825,16.863,0.078,0.0493972399943042
53006.446177,16.782,0.074,0.0668047663895879
53034.389376,16.966,0.087,0.099422003191465
53034.401172,16.858,0.079,0.111255750390328
53034.413034,17.009,0.087,0.123155708789709
53034.42497,16.97,0.089,0.135129903992324
53034.436984,16.967,0.091,0.147182348792232
53051.333145,16.633,0.057,0.0974110639903578
53051.34538,16.661,0.057,0.109685215992329
53051.356974,16.636,0.057,0.121316316795582
53051.368703,16.727,0.063,0.133082849593589
53051.380336,16.743,0.063,0.144753075195488
53064.28297,16.759,0.076,0.0886755039937561
53064.295456,16.787,0.068,0.101201459193381
53064.31994,16.815,0.078,0.125763807994779
53064.33839,16.817,0.063,0.144272847990703
53064.352285,16.79,0.065,0.158212311994401
53078.319708,16.792,0.073,0.170331065592973
53078.330749,16.726,0.068,0.181407396790897
53078.341656,16.802,0.073,0.192349299187108
53078.352617,16.732,0.071,0.20334537438706
53089.281279,16.689,0.048,0.166979092792282
53089.291874,16.568,0.046,0.17760799679202
53089.312761,16.658,0.048,0.198561835190782
53089.323179,16.733,0.091,0.209013172788802
53109.236209,16.754,0.073,0.185764868797862
53109.250664,16.772,0.074,0.200266124794667
53109.262574,16.823,0.078,0.212214236795751
53109.273299,16.808,0.079,0.222973556795844
53109.292096,16.763,0.074,0.241830707192828
53119.243718,16.696,0.052,0.225297897588881
53119.254344,16.742,0.054,0.235957900791848
53119.264838,16.649,0.05,0.246485481593781
53119.275354,16.644,0.052,0.257035132788587
53119.285928,16.672,0.054,0.267642969588493
53137.205489,16.737,0.081,0.244546564796066
53137.215136,16.812,0.087,0.254224435195012
53137.225485,16.788,0.084,0.264606551998795
53137.235396,16.783,0.079,0.274549267192511
53137.244981,16.803,0.081,0.284164939199598
53149.205815,16.611,0.067,0.283273607993417
53149.214793,16.574,0.067,0.292280337591434
53149.223849,16.569,0.063,0.301365316794044
53149.232826,16.654,0.072,0.310371043191722
53149.241904,16.549,0.063,0.319478092794504
53165.172187,16.907,0.16,0.300737998385983
53165.182094,16.779,0.135,0.310676700792939
53165.192006,16.906,0.2,0.320620419186994
53165.217937,16.728,0.104,0.346634398390772
53165.227753,16.741,0.102,0.35648180958872
53349.469675,16.78,0.119,0.187977959995111
53349.483222,16.699,0.111,0.201568310397409
53349.496951,16.708,0.102,0.215341243195825
53349.510553,16.709,0.101,0.228986769594904
53355.483007,16.704,0.071,0.220552622399095
53355.496171,16.803,0.078,0.233758747195406
53355.509901,16.641,0.069,0.247532683194161
53501.197978,16.789,0.094,0.401811529590888
53501.209679,16.816,0.089,0.413549972793984
53501.220052,16.791,0.094,0.423956166391319
53501.230047,16.784,0.094,0.433983150391665
53501.240385,16.822,0.096,0.444354231991712
53529.162314,16.864,0.111,0.45563340479614
53529.17272,16.948,0.124,0.466072703997383
53529.183029,16.963,0.126,0.476414692794881
53529.193565,16.871,0.115,0.486984407996479
53529.203898,16.863,0.111,0.497350473594828
53540.191309,17.263,0.42,0.519921188796207
53540.201113,16.859,0.29,0.529756561597378
53540.210811,17.01,0.335,0.539485595191747
53713.468785,17.349,0.278,0.351885111990385
53713.481668,17.746,0.594,0.364809337593452
53739.430633,17.36,0.191,0.396811025596806
53739.443659,17.242,0.12,0.409878708790045
53739.456881,17.267,0.128,0.423143019191455
53739.470484,17.196,0.102,0.436789548790874
53770.352518,17.23,0.107,0.417646057590796
53770.367209,17.318,0.117,0.432384068787459
53770.38051,17.267,0.111,0.445727631993801
53770.393501,17.335,0.118,0.458760203189752
53770.406421,17.231,0.109,0.471721547190787
53788.353928,17.332,0.092,0.476660569593043
53788.366508,17.411,0.114,0.489280825595395
53788.379189,17.219,0.398,0.502002404795552
53788.391808,17.276,0.18,0.514661785596551
53788.404466,17.174,0.249,0.527360291196196
53813.317741,17.395,0.175,0.52035777119135
53813.329197,17.383,0.175,0.531850430391531
53813.34069,17.313,0.165,0.543380207989679
53813.352078,17.257,0.162,0.554804649595963
53813.363972,17.258,0.163,0.566736710391613
53820.31078,17.454,0.561,0.535774495990563
53844.2413,17.275,0.114,0.542872159991821
53844.252424,17.507,0.144,0.554031756788737
53844.26336,17.45,0.135,0.565002751987497
53844.274312,17.479,0.142,0.575989798391692
53844.285292,17.35,0.12,0.587004934390797
53849.190296,17.298,0.117,0.507704947196064
53849.201083,17.327,0.122,0.518526465595316
53849.211971,17.335,0.12,0.529449307192373
53849.222893,17.323,0.124,0.540406257593678
53849.234004,17.378,0.135,0.551552812793478
53852.240779,17.284,0.157,0.567949492792343
53852.250868,17.32,0.163,0.578070777595416
53852.261139,17.492,0.188,0.588374644794606
53852.271272,17.542,0.203,0.598540070390725
53852.28139,17.16,0.14,0.608690447989048
53881.167052,17.42,0.168,0.586786566386965
53881.178226,17.324,0.152,0.597996323193563
53881.189297,17.446,0.17,0.609102750387078
53881.200469,17.402,0.163,0.620310500792996
53881.211623,17.493,0.202,0.631500193592801
53887.169028,17.259,0.203,0.607968889588234
53887.179196,17.375,0.236,0.61816942718894
53887.189591,17.432,0.262,0.628597691193747
53887.199974,17.252,0.228,0.639013916794478
53887.210364,17.512,0.289,0.649437164790288
53902.170445,17.695,0.34,0.657390423995652
54068.457684,17.395,0.135,0.476748588793329
54068.470596,17.22,0.115,0.489701907191647
54068.483504,17.267,0.111,0.502651212795905
54154.333062,17.169,0.104,0.62692779839295
54154.344581,17.133,0.099,0.638483659192629
54154.355997,17.19,0.107,0.649936190393823
54154.36746,17.21,0.109,0.661435871996381
54154.378964,17.356,0.122,0.672976684798265
54169.277892,17.263,0.109,0.619581254393945
54169.288801,17.247,0.122,0.630525163198134
54169.299827,17.044,0.104,0.641586446398264
54169.310744,17.007,0.107,0.652538380797871
