name,RA0,Decl0,Mode,Cloud,W,logP1,VI
OGLE-LMC-CEP-0002,4.529733,-69.81933,F,LMC,14.525,0.493892755238997,0.739999999999998
OGLE-LMC-CEP-0005,4.592089,-69.73497,F,LMC,13.4954,0.749122158503647,0.752000000000001
OGLE-LMC-CEP-0012,4.630203,-67.21442,F,LMC,14.5421,0.424912362695054,0.598000000000001
OGLE-LMC-CEP-0016,4.642367,-67.64631,F,LMC,12.033,1.0214562626099,1.08
OGLE-LMC-CEP-0017,4.649119,-69.68839,F,LMC,14.34215,0.565523888876241,0.647
OGLE-LMC-CEP-0018,4.649717,-68.95689,F,LMC,13.93705,0.607224689559966,0.828999999999999
OGLE-LMC-CEP-0021,4.6586,-69.26183,F,LMC,13.53005,0.737031510244558,0.769
OGLE-LMC-CEP-0023,4.679856,-68.98564,F,LMC,15.21055,0.230915001279584,0.719000000000001
OGLE-LMC-CEP-0025,4.681769,-69.11508,F,LMC,14.0813,0.572116132399537,0.814
OGLE-LMC-CEP-0026,4.686733,-68.79975,F,LMC,14.51275,0.410047410544259,0.615
OGLE-LMC-CEP-0027,4.688747,-67.33558,F,LMC,14.1059,0.546906084952209,0.602
OGLE-LMC-CEP-0028,4.690811,-69.63178,F,LMC,15.6032,0.101387704668654,0.655999999999999
OGLE-LMC-CEP-0033,4.699425,-69.43356,F,LMC,13.10885,0.856171361238565,0.833
OGLE-LMC-CEP-0034,4.700533,-70.64694,F,LMC,12.35285,1.0513311293729,0.893000000000001
OGLE-LMC-CEP-0035,4.701753,-67.96986,F,LMC,13.1629,0.841590311080098,0.782
OGLE-LMC-CEP-0037,4.704133,-68.43628,F,LMC,14.31135,0.486700281066554,0.782999999999999
OGLE-LMC-CEP-0039,4.710558,-68.51647,F,LMC,14.4013,0.497998411397827,0.654
OGLE-LMC-CEP-0040,4.713128,-69.81681,F,LMC,13.5057,0.713082551514665,0.745999999999999
OGLE-LMC-CEP-0041,4.714925,-67.43328,F,LMC,14.3626,0.463991835696568,0.747999999999999
OGLE-LMC-CEP-0042,4.717114,-70.16711,F,LMC,14.5973,0.41111933951599,0.694000000000001
OGLE-LMC-CEP-0044,4.719578,-67.23358,F,LMC,13.9286,0.605923286930557,0.648
OGLE-LMC-CEP-0045,4.71965,-67.28278,F,LMC,15.06605,0.271127243582927,0.709
OGLE-LMC-CEP-0046,4.722458,-69.22997,F,LMC,12.73635,0.946626606127507,0.783000000000001
OGLE-LMC-CEP-0048,4.725403,-69.62469,F,LMC,13.3753,0.744176654874584,0.693999999999999
OGLE-LMC-CEP-0049,4.72655,-70.69625,F,LMC,13.97485,0.585363651022461,0.873000000000001
OGLE-LMC-CEP-0050,4.727867,-69.57061,F,LMC,12.88365,0.894626732449799,0.837000000000002
OGLE-LMC-CEP-0053,4.734672,-69.84142,F,LMC,14.49125,0.420595819661698,0.784999999999998
OGLE-LMC-CEP-0055,4.742794,-67.07261,F,LMC,14.4131,0.456673954137632,0.658000000000001
OGLE-LMC-CEP-0056,4.7464,-70.23083,F,LMC,14.08975,0.564316571029852,0.835000000000001
