time,mag,mag.error,phase
726.81589,13.413,0.005,0.162805042179277
728.87972,13.535,0.005,0.305244831064745
739.8497,13.285,0.005,0.0623622463934103
744.75802,13.435,0.005,0.401120799463335
745.84264,13.369,0.005,0.475978245968594
746.82852,13.321,0.005,0.544020933140702
747.72395,13.045,0.005,0.605821013652032
748.67599,12.927,0.005,0.67152815843165
750.78892,13.101,0.005,0.817356692336945
751.7897,13.127,0.005,0.886427735940733
752.84752,13.185,0.005,0.959435521213174
754.79378,13.329,0.005,0.0937609566977892
755.77173,13.418,0.005,0.161256337393172
759.69761,13.388,0.005,0.432209622494012
761.7788,13.224,0.005,0.575847550148198
766.82849,13.155,0.005,0.924363066221243
773.78404,13.423,0.005,0.404415722487647
776.80923,13.003,0.005,0.613205896551601
778.83864,13.08,0.005,0.753270113062682
780.76959,13.132,0.005,0.886538895059445
782.79823,13.241,0.005,0.0265499683186793
788.82566,13.378,0.005,0.442546371472966
792.7357,13.019,0.005,0.712406423964556
795.82101,13.148,0.005,0.925345912704529
798.7453,13.358,0.005,0.127172250261343
817.74354,13.388,0.005,0.438377773388434
819.82019,13.206,0.005,0.581702362908402
824.69087,13.145,0.005,0.917863108187157
826.78352,13.284,0.005,0.062291973069999
827.68029,13.364,0.005,0.124184536642981
828.73995,13.458,0.005,0.197319313582153
829.68756,13.527,0.005,0.262720712120669
830.74568,13.53,0.005,0.335749202556166
831.58292,13.458,0.005,0.393533171607134
832.56554,13.381,0.005,0.461350862674059
832.75254,13.372,0.005,0.474257080977682
833.57211,13.349,0.005,0.530821515924776
834.70675,13.032,0.005,0.60913120328324
835.79384,12.951,0.005,0.684159122297644
837.65574,13.101,0.005,0.812662265931492
839.65416,13.186,0.005,0.950587639099093
841.74318,13.324,0.005,0.0947659715089956
842.73314,13.415,0.005,0.163090248898632
844.58803,13.536,0.005,0.291109581889117
846.75997,13.39,0.005,0.441010821367121
850.75079,13.025,0.005,0.716446084097047
854.76801,13.212,0.005,0.99370340117571
855.69769,13.281,0.005,0.0578673211357028
