time,mag,mag.error,phase
2090.89538,15.187,0.006,0.676884524295357
2105.90002,15.556,0.007,0.559055792285419
2106.86466,15.336,0.006,0.50879518569647
2116.84855,15.468,0.007,0.0381881535232502
2123.79539,15.028,0.005,0.280690649506086
2124.81254,15.049,0.006,0.390998561272828
2127.80858,15.49,0.008,0.552485968219091
2128.80332,15.52,0.007,0.594267113725766
2129.83531,15.044,0.006,0.749953749783829
2130.80178,15.105,0.005,0.705289037092145
2131.8903,15.452,0.007,0.0338368108904618
2132.78321,15.055,0.006,0.764235510686189
2135.81974,15.517,0.006,0.049535892460548
2136.83599,15.253,0.006,0.157091725262357
2137.79293,15.547,0.007,0.0832855541848321
2140.78789,15.06,0.006,0.241470466370116
2142.80021,15.044,0.005,0.394874405817878
2143.7952,15.095,0.006,0.437420017704242
2144.89127,15.021,0.005,0.789054676164545
2155.85623,15.021,0.006,0.31842776786429
2156.80287,15.107,0.006,0.21312558194887
2162.73877,15.017,0.005,0.364309511031205
2166.73323,15.553,0.007,0.578831008590271
2167.81657,15.048,0.006,0.891539039003604
2171.71804,15,0.005,0.821709622032625
2172.72371,15.047,0.005,0.896913237652232
2173.70423,15.05,0.005,0.895211535490995
2177.59525,15.006,0.006,0.793427423854863
2183.6469,15.022,0.006,0.298559286661545
2184.67828,15.137,0.006,0.452380624751999
2185.64234,15.051,0.006,0.40034645616284
2187.7368,15.005,0.006,0.804923469271328
2188.65766,15.411,0.007,0.620789510297245
2190.66871,15.031,0.005,0.770309960537745
2191.72194,15.244,0.006,0.990945660199654
2192.64155,14.999,0.005,0.802989369329909
2193.66277,15.071,0.005,0.925742793756706
2194.63105,15.038,0.005,0.886612817654858
2195.69686,15.289,0.005,0.145716465534423
2201.64445,15.009,0.005,0.332646842523165
2203.69087,15.545,0.006,0.590323996140182
2204.63701,15.237,0.007,0.483492877465384
2208.68149,15.013,0.006,0.850968808241833
2211.61864,15.004,0.006,0.832378514825916
2212.61922,15.044,0.006,0.892017594957895
2213.62744,15.195,0.006,0.975018767649216
2214.61283,15.249,0.007,0.988208870561926
2215.62727,15.539,0.007,0.0902299667760121
2217.6123,15.248,0.006,0.160184756233961
2219.65693,15.064,0.006,0.412388330572739
2222.62584,15.248,0.007,0.490915846012246
