objid        ra           dec            epoch    cycle 
SDSSJ010322  01:03:22.191 -00:20:47.731  2000.00  22
SDSSJ022817  02:28:17.169 -08:27:16.410  2000.00  22
SDSSJ024854  02:48:54.960  33:45:48.300  2000.00  22
SDSSJ041053  04:10:53.634 -06:30:27.749  2000.00  22
G191B2B      05:05:30.613  52:49:51.960  2000.00  01
GD71         05:52:27.614  15:53:13.750  2000.00  01
WD0554-165   05:57:01.300 -16:35:12.000  2000.00  22
SDSSJ072752  07:27:52.760  32:14:16.100  2000.00  22
SDSSJ081508  08:15:08.779  07:31:45.804  2000.00  22
SDSSJ102430  10:24:30.932 -00:32:07.030  2000.00  22
Feige34      10:39:36.740 +43:06:09.252  2000.00  15
SDSSJ111059  11:10:59.430 -17:09:54.100  2000.00  22
SDSSJ111127  11:11:27.300  39:56:28.000  2000.00  22
Feige67      12:41:51.791  17:31:19.759  2000.00  15
SDSSJ120650  12:06:50.408  02:01:42.460  2000.00  22
SDSSJ121405  12:14:05.110  45:38:18.500  2000.00  22
GD153        12:57:02.337  22:01:52.680  2000.00  01
SDSSJ130234  13:02:34.441  10:12:39.010  2000.00  22
SDSSJ131445  13:14:45.050 -03:14:15.641  2000.00  22
SDSSJ151421  15:14:21.273  00:47:52.790  2000.00  22
SDSSJ155745  15:57:45.400  55:46:09.700  2000.00  22
SDSSJ163800  16:38:00.360  00:47:17.808  2000.00  22
SDSSJ172135  17:21:35.980  29:40:16.000  2000.00  22
SDSSJ181424  18:14:24.130  78:54:02.900  2000.00  22
SDSSJ203722  20:37:22.167 -05:13:03.029  2000.00  22
SDSSJ210150  21:01:50.657 -05:45:50.969  2000.00  22
BD+284211    21:51:11.022 +28:51:50.364  2000.00  15
Feige110     23:19:58.398 -05:09:56.160  2000.00  15
SDSSJ232941  23:29:41.325  00:11:07.800  2000.00  22
SDSSJ235144  23:51:44.290  37:55:42.600  2000.00  22
SSSJ023824   02:38:24.790 -36:02:23.700  2000.00  25
A020.503022  01:22:0.7300 -30:52:03.900  2000.00  25
WD0418-534   04:19:24.800 -53:19:17.000  2000.00  25
SSSJ045822   04:58:22.800 -56:37:34.300  2000.00  25
SSSJ054114   05:41:14.710 -19:30:37.800  2000.00  25
WD0757-606   07:57:50.600 -60:49:56.000  2000.00  25
SSSJ063941   06:39:41.400 -57:12:32.400  2000.00  25
SSSJ105525   10:55:25.420 -36:12:16.200  2000.00  25
WD1203-272   12:06:20.200 -27:29:39.000  2000.00  25
SSSJ143459   14:34:59.640 -28:19:03.700  2000.00  25
WD1529-772   15:35:45.600 -77:24:42.000  2000.00  25
SSSJ183717   18:37:17.860 -70:02:50.600  2000.00  25
SSSJ193018   19:30:18.930 -52:03:45.400  2000.00  25
WD2314-293   23:17:20.200 -29:03:22.000  2000.00  25
SSSJ095657   09:56:57.020 -38:41:28.300  2000.00  25
