Date,Temp,Temp Anomaly,Cooling days,Cooling Days Anomaly,Drought Index,Drought Anomaly,Precipitation,Precipitation Anomaly,Region
189507,70.4,-2.6,513,-34,4.58,4.05,2.35,0.48,Southwest
189607,72.2,-0.8,584,37,0.59,0.06,2.59,0.72,Southwest
189707,71.3,-1.7,605,58,2.78,2.25,1.62,-0.25,Southwest
189807,73.2,0.2,524,-23,0.0,-0.53,2.13,0.26,Southwest
189907,72.6,-0.4,532,-15,-0.98,-1.51,2.44,0.57,Southwest
190007,73.3,0.3,504,-43,-2.73,-3.26,1.0,-0.87,Southwest
190107,75.2,2.2,608,61,-2.35,-2.88,1.45,-0.42,Southwest
190207,70.2,-2.8,517,-30,-5.06,-5.59,1.23,-0.64,Southwest
190307,72.3,-0.7,506,-41,-0.26,-0.79,1.06,-0.81,Southwest
190407,71.0,-2.0,486,-61,-4.38,-4.91,1.67,-0.2,Southwest
190507,70.9,-2.1,468,-79,6.28,5.75,1.63,-0.24,Southwest
190607,71.1,-1.9,478,-69,6.86,6.33,2.32,0.45,Southwest
190707,71.9,-1.1,533,-14,6.16,5.63,1.85,-0.02,Southwest
190807,71.7,-1.3,489,-58,2.43,1.9,2.39,0.52,Southwest
190907,73.2,0.2,598,51,2.82,2.29,1.97,0.1,Southwest
191007,73.9,0.9,557,10,-2.71,-3.24,1.66,-0.21,Southwest
191107,70.6,-2.4,515,-32,1.77,1.24,3.13,1.26,Southwest
191207,70.3,-2.7,577,30,3.01,2.48,2.42,0.55,Southwest
191307,71.4,-1.6,567,20,-0.04,-0.57,1.65,-0.22,Southwest
191407,70.9,-2.1,601,54,4.33,3.8,3.38,1.51,Southwest
191507,71.0,-2.0,523,-24,6.77,6.24,2.26,0.39,Southwest
191607,72.3,-0.7,563,16,3.92,3.39,2.14,0.27,Southwest
191707,74.3,1.3,579,32,4.59,4.06,1.85,-0.02,Southwest
191807,71.9,-1.1,580,33,-1.6,-2.13,2.16,0.29,Southwest
191907,72.8,-0.2,504,-43,2.94,2.41,3.05,1.18,Southwest
192007,72.6,-0.4,530,-17,5.13,4.6,1.2,-0.67,Southwest
