object_id,ra,decl,ddf_bool,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target,true_target,true_submodel,true_z,true_distmod,true_lensdmu,true_vpec,true_rv,true_av,true_peakmjd,libid_cadence,tflux_u,tflux_g,tflux_r,tflux_i,tflux_z,tflux_y
       615, 349.0461, -61.9438,1, 0.000, 0.000, 0.000,-9.000, 0.017,92, 92,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    69,    484.7,   3286.7,   3214.1,   3039.7,   2854.5,   2837.0
       713,  53.0859, -27.7844,1, 1.818, 1.627, 0.255,45.406, 0.007,88, 88,1,1.817,45.703, 0.000,    0.0, 0.00, 0.000,59570.000,    34,    108.7,    117.7,    119.9,    149.6,    147.9,    150.5
       730,  33.5742,  -6.5796,1, 0.232, 0.226, 0.016,40.256, 0.021,42, 42,2,0.233,40.328, 0.004,    4.5, 0.00, 0.000,60444.379,     9,0.,0.,0.,0.,0.,0.
       745,   0.1899, -45.5867,1, 0.304, 0.281, 1.152,40.795, 0.007,90, 90,1,0.301,40.969,-0.004,  257.7, 0.00, 0.000,60130.453,    38,0.,0.,0.,0.,0.,0.
      1124, 352.7113, -63.8237,1, 0.193, 0.241, 0.018,40.417, 0.024,90, 90,1,0.193,39.866,-0.002, -368.8, 0.00, 0.000,60452.641,     1,0.,0.,0.,0.,0.,0.
      1227,  35.6836,  -5.3794,1, 0.000, 0.000, 0.000,-9.000, 0.020,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    47,      2.3,     11.6,     31.6,    240.0,    632.4,   1187.7
      1598, 347.8467, -64.7609,1, 0.135, 0.182, 0.030,39.728, 0.019,90, 90,1,0.136,39.030,-0.002, -135.1, 0.00, 0.000,60628.816,    20,0.,0.,0.,0.,0.,0.
      1632, 348.5959, -63.0726,1, 0.686, 0.701, 0.010,43.152, 0.021,42, 42,3,0.688,43.097,-0.029, -626.6, 3.10, 0.051,59602.090,    93,0.,0.,0.,0.,0.,0.
      1920, 149.4141,   3.4338,1, 0.309, 0.323, 0.336,41.140, 0.027,90, 90,1,0.311,41.038, 0.002, -290.8, 0.00, 0.000,59996.625,   107,0.,0.,0.,0.,0.,0.
      1926, 149.4141,   1.9401,1, 0.000, 0.000, 0.000,-9.000, 0.018,65, 65,1,0.000, 0.000, 0.000,    0.0, 0.00, 0.000,59570.000,    15,     16.6,    130.6,    450.4,   2237.3,   4903.2,   8229.6
